,return_on_equity_pct,net_profit_margin_pct,debt_to_equity,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,interest_coverage,asset_turnover,free_cash_flow_cr,operating_profit_margin_pct
count,88.0,92.0,91.0,91.0,84.0,83.0,91.0,91.0,91.0,91.0
mean,20.45721822838469,20.015917582704322,1.6687008493255728,12.950318100413169,21.10741265835075,18.995889387455364,126.12959168132559,3.5022970604050405,901.1978021978022,34.66891463299718
std,16.159191267239024,45.182887413385615,2.86310596153976,7.382205385459934,21.548470489755807,20.199021958143717,485.94073384579076,15.84777683323491,23254.520909190865,27.512220711640186
min,-5.334926929972293,-3.9798524404086266,0.0,-5.136730668466605,-22.397399063784775,-19.72584382397693,0.3660986540179259,0.012805202156520298,-101229.0,-13.729168991026642
10%,8.343696251305772,4.619194610984474,0.008129006675038002,5.838805854237616,4.3594698195265895,3.5558153809400497,1.6106611743349857,0.07325702420450533,-14556.0,9.837909494446341
25%,11.551291205835398,7.24774515132234,0.058099743078219884,8.440832121892061,9.86465271466127,9.179239288916797,3.179969072942309,0.21198146242264468,-1315.0,16.008217692276524
50%,15.797288098044476,14.208254232549017,0.43491620111731844,11.836370175898114,16.2781059479576,14.869835499703509,11.355507351168956,0.6788531553398058,1095.0,25.833656455990695
75%,23.68722491165997,20.34900889030226,1.5942703351364202,17.183239296281414,23.77712800024647,22.05389168656197,58.089466998549725,1.134077393208722,8447.0,40.154298741775634
90%,37.29028429996709,29.24548245324143,6.445624336310825,21.08864867789759,39.277589291381965,31.639008770631808,192.2895238095238,1.6559406621205455,20445.0,84.04312668463612
max,98.57142857142858,432.7262044653349,14.867419925542423,36.30691600183056,120.69250867467933,121.23568222761168,3764.5,125.88819875776397,50429.0,102.02531365231931
